titulo,classificacao,palavras_achadas
A Perigo [10.000 Destinos],Filosofica,"['Melancolica: dor (1)', 'Filosofica: ser (4)', 'Filosofica: mente (1)']"
Concreto e Asfalto [10.001 Destinos],Filosofica,"['Filosofica: tempo (1)', 'Filosofica: ser (3)']"
Eu Que Não Amo Você [10.000 Destinos],Melancolica,"['Melancolica: noite (1)', 'Melancolica: saudade (1)']"
Freud Flintstone,Melancolica,"['Melancolica: adeus (1)', 'Melancolica: morte (1)', 'Otimista: flor (1)', 'Filosofica: ser (1)']"
Novos Horizontes,Otimista,"['Melancolica: fim (2)', 'Otimista: novo (2)', 'Otimista: voar (3)', 'Otimista: livre (2)', 'Filosofica: tempo (1)', 'Filosofica: ser (1)', 'Filosofica: universo (1)']"
Novos Horizontes [10.001 Destinos],Otimista,"['Melancolica: fim (2)', 'Otimista: novo (2)', 'Otimista: voar (3)', 'Otimista: livre (2)', 'Filosofica: tempo (1)', 'Filosofica: ser (1)', 'Filosofica: universo (1)']"
Números,Otimista,"['Melancolica: solid (1)', 'Otimista: sol (1)', 'Otimista: luz (1)', 'Otimista: vida (2)', 'Filosofica: destin (1)', 'Filosofica: human (1)']"
Nunca Se Sabe [10.000 Destinos],Melancolica,"['Melancolica: fim (4)', 'Melancolica: noite (1)', 'Melancolica: morr (3)', 'Otimista: vida (4)', 'Otimista: melhor (4)', 'Filosofica: ser (1)', 'Filosofica: porque (5)']"
Quando o Carnaval Chegar,Otimista,"['Otimista: vida (3)', 'Otimista: alegri (1)', 'Filosofica: tempo (1)', 'Filosofica: duvida (1)']"
Rádio Pirata,Filosofica,"['Otimista: amor (1)', 'Filosofica: mundo (2)']"
Sem Você (!É Foda!),Melancolica,"['Melancolica: dor (1)', 'Melancolica: noite (1)', 'Melancolica: frio (1)']"
Armas Químicas e Poemas,Otimista,"['Melancolica: medo (1)', 'Otimista: sol (1)', 'Otimista: paz (1)', 'Filosofica: tempo (1)', 'Filosofica: saber (1)']"
Outras Frequências,Filosofica,"['Melancolica: morr (1)', 'Filosofica: ser (6)', 'Filosofica: mundo (4)']"
